,treino,previsto,MAPE,MSE,AE
gamma1,[0.4335270462955384],[0.4298209547996521],0.008548697313246359,1.3735114175880745e-05,0.003706091495886299
gamma2,[0.8554088477491049],[0.8471972346305847],0.009599635472707486,6.743059000825213e-05,0.008211613118520145
gamma3,[0.9372801278909322],[0.9294652342796326],0.008337841994884375,6.107256215593148e-05,0.007814893611299611
gamma4,[0.5687076940748169],[0.5613588094711304],0.012922076983048088,5.400610491830115e-05,0.007348884603686545
JXX,[0.03579855711022262],[0.027475006878376007],0.23251077428117184,6.928148846207376e-05,0.00832355023184661
JXY,[-0.5955356590317753],[-0.5797699689865112],0.026473125170868864,0.0002485569826033386,0.01576569004526407
JXZ,[-0.7792109396740667],[-0.7592857480049133],0.025570985537610447,0.0003970132630525004,0.019925191669153408
JYX,[-0.4897951571405561],[-0.48077401518821716],0.01841819344438751,8.138100212424963e-05,0.00902114195233894
JYY,[0.559631598803906],[0.5620655417442322],0.004349187832724618,5.924078236763615e-06,0.0024339429403261725
JYZ,[-0.9491812971888518],[-0.9459512829780579],0.00340294759321547,1.0432991801930806e-05,0.003230014210793941
JZX,[-0.2956259316551795],[-0.2874533236026764],0.027645098678405793,6.679152237983824e-05,0.008172608052503083
JZY,[-0.15528266879590258],[-0.14314046502113342],0.07819419816082882,0.00014743311250801835,0.012142203774769156
JZZ,[0.10612110780233319],[0.14620712399482727],0.37773838798554965,0.0016068886941848974,0.04008601619249408
JIX,[-0.4403690528540243],[-0.4339558184146881],0.014563317739455364,4.11295759738875e-05,0.0064132344393361684
JIY,[0.0042808872494692896],[0.016294583678245544],2.8063566566172975,0.00014432890188279134,0.012013696428776255
JIZ,[0.12829563294553736],[0.16746632754802704],0.30531588412770044,0.0015343433156415139,0.039170694602489675
JXI,[-0.07807628366854513],[-0.060025908052921295],0.2311889701647756,0.0003258160598651076,0.018050375615623837
JYI,[0.1734731208329543],[0.16778872907161713],0.032768141450634,3.2312309696357906e-05,0.005684391761337171
JZI,[-0.02553243332706523],[0.021742386743426323],1.8515595229373876,0.002234908612697351,0.04727482007049155
