,treino,previsto,MAPE,MSE,AE
gamma1,[0.13948974986003737],[0.13635839521884918],0.022448636149467318,9.80538188889081e-06,0.0031313546411881887
gamma2,[0.163836144803976],[0.17205986380577087],0.050194778518709904,6.762955422048186e-05,0.00822371900179486
gamma3,[0.46443579215550523],[0.44846734404563904],0.03438246659619968,0.0002549913350374893,0.015968448109866196
gamma4,[0.8613332758638482],[0.8615360260009766],0.00023539104178344424,4.1107618105559864e-08,0.000202750137128338
JIX,[-0.20502224603708497],[-0.19472312927246094],0.05023414270254895,0.0001060718061313597,0.010299116764624028
JIY,[-0.6209768603323691],[-0.6097460985183716],0.018085636569430956,0.00012613001092274474,0.011230761813997514
JIZ,[0.8048786399510626],[0.7763329148292542],0.035465874859772685,0.0008148584227298442,0.02854572512180842
JXI,[0.25107473156469906],[0.2821060121059418],0.12359380152616556,0.0009629403720293085,0.03103128054124271
JYI,[0.05334375453651985],[0.042027171701192856],0.21214447564952538,0.00012806504706881753,0.011316582835326994
JZI,[0.3934534044238047],[0.40620967745780945],0.032421305523295016,0.0001627225017180762,0.012756273034004728
JXX,[0.7049624374714418],[0.6729843616485596],0.04536138966152745,0.0010225973333340068,0.03197807582288226
JXY,[0.37205632722347204],[0.3667217493057251],0.014338092185011487,2.845772156051329e-05,0.005334577917746941
JXZ,[-0.7289865579589982],[-0.7145582437515259],0.019792291160852776,0.00020817625086954906,0.01442831420747237
JYX,[0.983481168032575],[0.9778175354003906],0.0057587606313950265,3.207673459234388e-05,0.00566363263218439
JYY,[-0.7552620814992317],[-0.7525821328163147],0.003548369166895233,7.1821249430685e-06,0.0026799486829169883
JYZ,[-0.7187700777991153],[-0.7069026827812195],0.016510697070520716,0.00014083506451077803,0.011867395017895799
JZX,[-0.6533605986568296],[-0.6576136350631714],0.006509477943856913,1.8088318673668613e-05,0.004253036406341781
JZY,[-0.17959942931413186],[-0.17108197510242462],0.04742472871007638,7.254702624852944e-05,0.008517454211707243
JZZ,[0.33965764099196205],[0.340291291475296],0.0018655563922643059,4.0151293502937326e-07,0.0006336504833339696
