,treino,previsto,MAPE,MSE,AE
gamma1,[0.011103140095212849],[0.006648320239037275],0.40122162000786443,1.984541995097616e-05,0.004454819856175574
gamma2,[0.06936843811723081],[0.06442975252866745],0.07119499476429203,2.439061534268345e-05,0.004938685588563363
gamma3,[0.17029397548628933],[0.15132945775985718],0.111363409493949,0.0003596529325961593,0.01896451772643215
gamma4,[0.23062657285541344],[0.2466064691543579],0.06928905069825904,0.0002553570857250193,0.015979896298944474
JIX,[0.9567097167419933],[0.9924547076225281],0.03736242065384446,0.0012777043730495112,0.03574499088053473
JIY,[-0.8909546899790852],[-0.905012309551239],0.01577815317688466,0.00019761666803540132,0.01405761957215379
JIZ,[0.45132344234864985],[0.45344278216362],0.004695833666297668,4.491601251317687e-06,0.002119339814970145
JXI,[-0.032276513351115144],[0.0007619186653755605],1.0236059780400424,0.001091537990108278,0.033038432016490704
JYI,[0.8834464903328145],[0.8592876195907593],0.027346161885768598,0.0005836510355313331,0.02415887074205525
JZI,[-0.18629102358141614],[-0.20559681951999664],0.10363245403578532,0.00037271375682211154,0.019305795938580506
JXX,[0.8384859880845335],[0.7750687599182129],0.0756330207868984,0.004021744828299162,0.06341722816632056
JXY,[-0.6817044022321801],[-0.7091136574745178],0.04020695062638377,0.0007512672729396182,0.027409255242337727
JXZ,[0.9895603626777179],[1.000765085220337],0.01132292982340102,0.00012554580725707577,0.011204722542619061
JYX,[-0.1740409161067018],[-0.2064012587070465],0.185935257778723,0.0010471917732116842,0.032360342600344705
JYY,[-0.6337030386141642],[-0.6900408864021301],0.08890260004302696,0.0031739530933800157,0.05633784778796591
JYZ,[-0.3078017914359601],[-0.32339638471603394],0.050664400643419864,0.00024319133957092427,0.015594593280073843
JZX,[0.2615917474199978],[0.24007950723171234],0.0822359283136962,0.000462776477918484,0.02151224018828546
JZY,[-0.931611574528584],[-0.9600897431373596],0.03056871488869832,0.0008110060873098527,0.02847816860877561
JZZ,[-0.22563199046343807],[-0.22212275862693787],0.01555290023055861,1.2314708082306594e-05,0.003509231836500204
