,treino,previsto,MAPE,MSE,AE
gamma1,[0.4438774447470737],[0.44362446665763855],0.0005699277862142567,6.399791373425409e-08,0.0002529780894351408
gamma2,[0.9596160635365508],[0.9590469002723694],0.0005931156071771607,3.2394682129366955e-07,0.0005691632641814381
gamma3,[0.9712559648074823],[0.9702091813087463],0.0010777627491260564,1.0957556932259656e-06,0.0010467834987359925
gamma4,[0.8383626047485429],[0.8369706869125366],0.001660281396286418,1.9374352621922634e-06,0.001391917836006229
JXX,[0.26207593059135315],[0.2607893645763397],0.004909134585959083,1.6552521109875218e-06,0.001286566015013424
JXY,[-0.2615403318741629],[-0.2617795467376709],0.0009146385255145673,5.722375092313908e-08,0.00023921486350797494
JXZ,[0.05603724403844934],[0.05410439521074295],0.03449221782534822,3.7359045907659677e-06,0.0019328488277063904
JYX,[-0.7842866333945362],[-0.7820735573768616],0.002821769393284215,4.897705460006555e-06,0.00221307601767462
JYY,[0.365899867666593],[0.36395078897476196],0.005326808955304202,3.7989077469497587e-06,0.0019490786918310299
JYZ,[0.20133672349955978],[0.19969020783901215],0.008177920212112878,2.711013820428604e-06,0.0016465156605476317
JZX,[-0.43615095428719],[-0.4349595904350281],0.002731540170785518,1.4193478282380355e-06,0.0011913638521618974
JZY,[-0.24285431246360178],[-0.2418258786201477],0.004234776945162207,1.0576761703617303e-06,0.0010284338434540796
JZZ,[0.4722630742673428],[0.47012725472450256],0.004522520728841045,4.56172511957836e-06,0.002135819542840256
JIX,[0.36400912117595574],[0.36271241307258606],0.003562295634737337,1.6814519053445965e-06,0.0012967081033696815
JIY,[-0.8167947838408722],[-0.815768837928772],0.0012560632516234718,1.0525650145552278e-06,0.0010259459121002568
JIZ,[0.2356326977228047],[0.23753701150417328],0.008081704278617487,3.6264109779102686e-06,0.0019043137813685718
JXI,[0.6838398091019124],[0.6821489930152893],0.00247253240323006,2.8588590387835793e-06,0.001690816086623137
JYI,[0.6691005771521796],[0.6679858565330505],0.0016659985915324711,1.2426020587115524e-06,0.0011147206191290948
JZI,[0.030035451582698824],[0.026835203170776367],0.10654903599870896,1.024158989801221e-05,0.0032002484119224572
