,treino,previsto,MAPE,MSE,AE
gamma1,[0.8924724586388075],[0.8671883344650269],0.028330425134175947,0.0006392869352351603,0.025284124173780675
gamma2,[0.0695843380774609],[0.04404475539922714],0.3670306190137676,0.0006522702833783375,0.025539582678233752
gamma3,[0.6741693556379136],[0.6832761764526367],0.01350820938175997,8.29341853514746e-05,0.009106820814723138
gamma4,[0.25039996909212603],[0.26551494002342224],0.06036330989216369,0.0002284623462539295,0.015114970931296212
JIX,[-0.7080903986407061],[-0.7308741807937622],0.03217637493290863,0.0005191007291979175,0.022783782153056098
JIY,[-0.6216493565570518],[-0.6341573596000671],0.02012067238722773,0.00015645014012408148,0.012508003043015359
JIZ,[0.6782149346653983],[0.7180393934249878],0.05871952492352172,0.0015859875154942457,0.03982445875958951
JXI,[0.08109353634994831],[0.13176843523979187],0.6248944264948911,0.0025679453774958678,0.050674898889843556
JYI,[-0.43827709921987545],[-0.36492645740509033],0.1673613381701846,0.0053803166546409036,0.07335064181478512
JZI,[-0.3291341864361108],[-0.4130273759365082],0.2548905369229462,0.007038067244549583,0.08389318950039737
JXX,[0.08661423184359096],[0.1500682234764099],0.7326046803417359,0.004026409054137857,0.06345399163281895
JXY,[-0.34445619760718293],[-0.32982367277145386],0.042480074207914165,0.00021411078306822826,0.014632524835729077
JXZ,[0.41979916256951233],[0.45205551385879517],0.07683757893142933,0.0010404721984976185,0.032256351289282836
JYX,[-0.7551256135755018],[-0.773127555847168],0.023839665809278293,0.0003240699255524018,0.018001942271666183
JYY,[-0.2726347444165209],[-0.19667397439479828],0.2786173500530537,0.005770038582293036,0.07596077002172263
JYZ,[-0.4477936419037267],[-0.43147507309913635],0.036442162812349126,0.00026629568783015004,0.016318568804590372
JZX,[0.5097123695839638],[0.5633938908576965],0.1053172818182704,0.002881705726262218,0.05368152127373271
JZY,[0.6724889948478261],[0.6982474327087402],0.03830313664351173,0.000663497121034575,0.02575843786091414
JZZ,[0.027949878810316964],[0.07478320598602295],1.675618255576074,0.0021933605343467206,0.046833327175705985
