,treino,previsto,MAPE,MSE,AE
gamma1,[0.46137519071410127],[0.4601288139820099],0.0027014385627503732,1.5534549582987901e-06,0.001246376732091381
gamma2,[0.7856333408759735],[0.7854364514350891],0.0002506123793891342,3.8765451931756854e-08,0.00019688944088436244
gamma3,[0.5584469387242702],[0.5566120743751526],0.0032856556673212752,3.36672717966281e-06,0.0018348643491176153
gamma4,[0.974261266946173],[0.9708409905433655],0.0035106357184129713,1.1698290671601877e-05,0.0034202764028075094
JXX,[-0.16795724132015688],[-0.1674891710281372],0.002786841986332978,2.1908979827138226e-07,0.0004680702920196733
JXY,[0.7918128551580439],[0.7916734218597412],0.00017609375421778412,1.9441644675564834e-08,0.00013943329830268247
JXZ,[-0.40060849944206534],[-0.4005410969257355],0.00016825034022926284,4.543099207597306e-09,6.740251632986194e-05
JYX,[0.36267120144248377],[0.36024489998817444],0.006690085798538709,5.8869387471835795e-06,0.002426301454309332
JYY,[-0.8468727980494843],[-0.8445133566856384],0.002786063467004934,5.566963549427074e-06,0.0023594413638459155
JYZ,[0.7208768750809686],[0.7189731001853943],0.002640915475837022,3.6243588530191714e-06,0.0019037748955743616
JZX,[-0.0646316912873881],[-0.06261048465967178],0.031272686625651226,4.085276231924383e-06,0.002021206627716321
JZY,[-0.9926550802113958],[-0.989086925983429],0.00359455595311816,1.2731724594557762e-05,0.0035681542279668577
JZZ,[-0.7094524862747427],[-0.7060137391090393],0.004847043645952733,1.182498206963289e-05,0.0034387471657033597
JIX,[-0.837818670752231],[-0.8353076577186584],0.002997084120025752,6.305186454771448e-06,0.0025110130335725955
JIY,[0.2136055782918591],[0.21224313974380493],0.006378291049087757,1.8562387972239794e-06,0.001362438548054179
JIZ,[0.9954557010352247],[0.9898641109466553],0.005617115942733049,3.126587971858827e-05,0.005591590088569465
JXI,[-0.7188265123325341],[-0.7172977924346924],0.0021266882503835093,2.336984526057312e-06,0.001528719897841757
JYI,[0.704572082529658],[0.7020195126533508],0.003622865480480765,6.515612973430661e-06,0.0025525698763071425
JZI,[-0.7008545123478973],[-0.6973720788955688],0.004968839311117703,1.2127342749896313e-05,0.0034824334523284595
