,treino,previsto,MAPE,MSE,AE
gamma1,[0.7212885992572478],[0.7212492823600769],5.450924527482611e-05,1.54581840314312e-09,3.9316897170849074e-05
gamma2,[0.08366591038506865],[0.08365250378847122],0.00016023965478566407,1.7973683232626746e-10,1.3406596597431708e-05
gamma3,[0.679464779137179],[0.6795001029968262],5.19877714516335e-05,1.2477750603763768e-09,3.532385964721829e-05
gamma4,[0.005343265292397037],[0.005375064443796873],0.0059512582025607694,1.0111860297497003e-09,3.1799151399836134e-05
JXX,[0.40822888780668243],[0.4083547294139862],0.00030826237697164336,1.5836110128798333e-08,0.00012584160730377825
JXY,[0.6079899762951007],[0.6080765128135681],0.00014233214664950212,7.488569028469318e-09,8.653651846746158e-05
JXZ,[0.6062115991790376],[0.6059492230415344],0.00043281279648632864,6.884123753106065e-08,0.0002623761375031286
JYX,[-0.5972657695612691],[-0.597281813621521],2.686251426009702e-05,2.5741186936683527e-10,1.604406025190741e-05
JYY,[0.6388346370785187],[0.6389411091804504],0.00016666613823355199,1.133630848975632e-08,0.00010647210193170942
JYZ,[0.30593781135973064],[0.30612409114837646],0.0006088812226834999,3.4700159657933875e-08,0.00018627978864582673
JZX,[-0.7051380860833518],[-0.7050507664680481],0.00012383335551868812,7.624715216790875e-09,8.7319615303727e-05
JZY,[0.7226628276219034],[0.7225443720817566],0.00016391536359575118,1.4031714991464922e-08,0.00011845554014677795
JZZ,[-0.11992738845557072],[-0.11994542926549911],0.00015043110802902724,3.254708228726225e-10,1.804080992839907e-05
JIX,[-0.047683475541308695],[-0.04750455543398857],0.0037522455166910753,3.201240480344472e-08,0.0001789201073201241
JIY,[0.2604381086377703],[0.26037585735321045],0.00023902525204717778,3.875222429349341e-09,6.225128455983331e-05
JIZ,[-0.19207806086305412],[-0.19206038117408752],9.20442911968158e-05,3.125714019556704e-10,1.767968896659866e-05
JXI,[0.8400480253526539],[0.8398893475532532],0.00018889134265162398,2.5178644022651407e-08,0.00015867779940070825
JYI,[-0.9662967591954601],[-0.9659054279327393],0.00040498041517459163,1.5314015718268697e-07,0.00039133126272083985
JZI,[0.9752211014725047],[0.9752292037010193],8.308093931024194e-06,6.564610690199434e-11,8.102228514550447e-06
