,treino,previsto,MAPE,MSE,AE
gamma1,[0.041785415602753395],[0.04190525412559509],0.002867950961191373,1.4361271556880078e-08,0.0001198385228416976
gamma2,[0.7335413506775065],[0.7285663485527039],0.00678216997611335,2.4750646141790573e-05,0.004975002124802619
gamma3,[0.1060683270342535],[0.10580188781023026],0.0025119583901536246,7.098986009811245e-08,0.0002664392240232516
gamma4,[0.3424554918369298],[0.3420521318912506],0.0011778463341778303,1.6269924577832204e-07,0.00040335994567919364
JXX,[-0.1362653751785774],[-0.13758549094200134],0.009687829807784393,1.742705628840387e-06,0.0013201157634239458
JXY,[-0.4690148425097873],[-0.46817004680633545],0.0018012131533646136,7.136797805707257e-07,0.0008447957034518616
JXZ,[0.7208183359380034],[0.7193481922149658],0.0020395481770374923,2.161322566386719e-06,0.0014701437230375536
JYX,[-0.34119700732639613],[-0.34110456705093384],0.00027092932668621204,8.54520452754425e-09,9.244027546229105e-05
JYY,[0.9473411821310671],[0.9432913661003113],0.004274928723826474,1.6401009882966876e-05,0.004049816030755826
JYZ,[-0.2774932061648101],[-0.27709686756134033],0.0014282821873281284,1.5708428860036776e-07,0.00039633860346977023
JZX,[0.10724944842999884],[0.11066422611474991],0.03183958271803959,1.1660706636273872e-05,0.003414777684751069
JZY,[0.5484521505152973],[0.5489609241485596],0.000927653639035377,2.588506099029151e-07,0.0005087736332622939
JZZ,[0.5634961891752752],[0.5604866743087769],0.005340790096385649,9.057179731674666e-06,0.003009514866498364
JIX,[0.4833378712291465],[0.48568692803382874],0.004860071896928923,5.518067871623868e-06,0.0023490568046822258
JIY,[0.881607766294431],[0.8796926736831665],0.002172272845682897,3.667579709720058e-06,0.001915092611264546
JIZ,[0.49480679370832537],[0.4943803548812866],0.0008618289652872427,1.8185007320618003e-07,0.00042643882703874425
JXI,[0.8162851259228743],[0.8153178095817566],0.0011850226230988327,9.357009037933065e-07,0.0009673163411176855
JYI,[-0.7780454366399887],[-0.7738950848579407],0.00533433085858256,1.7225419914749292e-05,0.004150351782048034
JZI,[0.15954636399993594],[0.15408430993556976],0.03423490155105237,2.983403460205903e-05,0.005462054064366173
