,treino,previsto,MAPE,MSE,AE
gamma1,[0.9723752503414661],[0.9720211029052734],0.0003642086078068107,1.254204065618373e-07,0.0003541474361926644
gamma2,[0.3289191945502741],[0.32899338006973267],0.0002255432966143077,5.503491297341079e-09,7.418551945859164e-05
gamma3,[0.6037845231084645],[0.603619396686554],0.00027348568171382885,2.7266735212990038e-08,0.00016512642191057747
gamma4,[0.6074942084317443],[0.606835126876831],0.001084918252331428,4.34388496026844e-07,0.0006590815549132323
JXX,[-0.8296238699780065],[-0.8285176157951355],0.0013334406384671066,1.223798317119639e-06,0.0011062541828710248
JXY,[-0.36524216496358974],[-0.36519214510917664],0.00013694983551007715,2.5019858355085276e-09,5.001985441310808e-05
JXZ,[0.35288790697896677],[0.3527815341949463],0.0003014350503850534,1.1315169180267875e-08,0.00010637278402048089
JYX,[-0.8295173655407848],[-0.829012930393219],0.0006081067962175371,2.544548180997488e-07,0.0005044351475658182
JYY,[-0.6933649428609245],[-0.6925135254859924],0.0012279498461791774,7.24911546336279e-07,0.0008514173749321063
JYZ,[0.650547699608063],[0.6504423022270203],0.00016201330218561832,1.110860793067274e-08,0.00010539738104275997
JZX,[0.9594457052278216],[0.9583995342254639],0.0010903910420958058,1.0944737661741351e-06,0.0010461710023577098
JZY,[-0.3613227125647036],[-0.36096516251564026],0.0009895587424477799,1.278420375852031e-07,0.00035755004906334875
JZZ,[-0.6220620264300913],[-0.6213832497596741],0.00109117200789872,4.6073776830275423e-07,0.0006787766704172693
JIX,[-0.004926862482795391],[-0.005804375745356083],0.17810792682462095,7.700295259699097e-07,0.0008775132625606918
JIY,[-0.4676525538549188],[-0.46709057688713074],0.0012016976346126823,3.158181123242352e-07,0.000561976967788036
JIZ,[0.27482232288738184],[0.27500462532043457],0.0006633465256293344,3.323417709694432e-08,0.00018230243305272786
JXI,[-0.5150404916324747],[-0.5142650008201599],0.0015056890184629206,6.013859999846075e-07,0.0007754908123147608
JYI,[-0.053662840025089587],[-0.05333587899804115],0.006092875943493967,1.069035132085665e-07,0.00032696102704843355
JZI,[0.9406722982235067],[0.9391621351242065],0.001605408283152576,2.2805925864879497e-06,0.001510163099300188
