,treino,previsto,MAPE,MSE,AE
gamma1,[0.3821258776361548],[0.5166913866996765],0.35214968924886497,0.018107876229524745,0.13456550906352172
gamma2,[0.2597144974749366],[0.2672729790210724],0.029103040529592426,5.713064328327557e-05,0.007558481546135809
gamma3,[0.9030730537030369],[0.7550391554832458],0.16392239543941697,0.021914035022147463,0.14803389821979107
gamma4,[0.04104246726610428],[0.007352177053689957],0.820864155022135,0.0011350356545967001,0.03369029021241432
JIX,[-0.7093276763334386],[-0.7744923830032349],0.09186827025647284,0.004246438995360586,0.06516470666979624
JIY,[-0.30097748941397007],[-0.2611512243747711],0.13232306880074063,0.0015861313869725204,0.03982626503919895
JIZ,[-0.6741283351047271],[-0.5216966867446899],0.22611666120866533,0.02323540742175803,0.1524316483600372
JXI,[-0.5082135837716129],[-0.5796438455581665],0.14055165793965443,0.005102282298895587,0.07143026178655365
JYI,[0.38476156435115083],[0.16857728362083435],0.5618655831563698,0.046735643234884286,0.21618428073031648
JZI,[-0.6899586608088255],[-0.7140297293663025],0.03488769679223814,0.000579416341498757,0.024071068557476982
JXX,[-0.2981621320585077],[-0.33358776569366455],0.1188133227736825,0.0012549755184523548,0.03542563363515683
JXY,[-0.5989112539604846],[-0.4356147050857544],0.27265566942494673,0.026665762874397154,0.16329654887473022
JXZ,[0.9488189626598429],[0.8232520818710327],0.13234018894058153,0.015767041551031265,0.12556688078881018
JYX,[-0.017848451176140756],[-0.2030215859413147],10.374745289535683,0.03428908983876127,0.18517313476517394
JYY,[-0.3818888638509741],[-0.45235127210617065],0.1845102461083897,0.004964950977121993,0.07046240825519656
JYZ,[-0.18004349647137707],[-0.3878233730792999],1.1540537741164967,0.04317247712320365,0.20777987660792285
JZX,[0.6561123682325138],[0.6026174426078796],0.08153317665500343,0.002861707067585145,0.053494925624634204
JZY,[-0.2643523124079703],[-0.14497676491737366],0.4515774664621297,0.014250521338679696,0.11937554749059665
JZZ,[0.635377617060706],[0.7139844298362732],0.12371668542434178,0.006179031014733083,0.07860681277556725
