,treino,previsto,MAPE,MSE,AE
gamma1,[0.8987383567957395],[0.8007258176803589],0.10905569832895919,0.009606457823844023,0.09801253911538066
gamma2,[0.5675682084836022],[0.5322984457015991],0.06214189282418573,0.0012439561666987718,0.03526976278200311
gamma3,[0.230046952051981],[0.226719468832016],0.014464365601388791,1.1072144579148716e-05,0.0033274832199650106
gamma4,[0.523269597544914],[0.4828070104122162],0.0773264629218684,0.001637220957471161,0.04046258713269779
JIX,[-0.2963074883442347],[-0.5670862197875977],0.9138436998554226,0.07332112140207687,0.27077873144336295
JIY,[-0.13962750801980395],[-0.14667779207229614],0.05049351773500265,4.970650522082577e-05,0.007050284052492195
JIZ,[-0.0926582728208516],[-0.24990639090538025],1.6970758605500567,0.02472697064112587,0.15724811808452865
JXI,[-0.31306051824349357],[-0.35837098956108093],0.1447339050347626,0.0020530388110219073,0.045310471317587364
JYI,[0.024888729848817848],[-0.028945008292794228],2.162976514615873,0.002898071362299659,0.053833738141612075
JZI,[-0.21516919708905635],[0.1851792186498642],1.860621414008532,0.16027885398466357,0.40034841573892055
JXX,[-0.9181825549143148],[-0.905269205570221],0.014064032555376645,0.00016675459128260848,0.012913349344093827
JXY,[-0.16293478520770655],[-0.16102461516857147],0.011723525069861662,3.648749578409286e-06,0.0019101700391350729
JXZ,[-0.9526802754794608],[-0.9233713746070862],0.030764676908655565,0.0008590116703466799,0.029308900872374588
JYX,[-0.7950883060600384],[-0.7403664588928223],0.0688248673136491,0.002994480557392165,0.054721847167216175
JYY,[-0.47238671865091586],[-0.5393952131271362],0.14185092812852404,0.004490138331969656,0.06700849447622037
JYZ,[0.9311461864746311],[0.8364570140838623],0.10169098447287533,0.00896603936804873,0.0946891723907688
JZX,[-0.036894444765783074],[-0.3153098523616791],7.546269075557579,0.0775151391867889,0.278415407595896
JZY,[0.09337554885649313],[0.2665379047393799],1.8544721611116444,0.029985201494911524,0.17316235588288675
JZZ,[0.8348075571017148],[0.7874946594238281],0.0566752148748481,0.0022385102866781777,0.04731289767788671
