,treino,previsto,MAPE,MSE,AE
gamma1,[0.3821258776361548],[0.38231489062309265],0.0004946354015778641,3.5725909231169055e-08,0.00018901298693785318
gamma2,[0.2597144974749366],[0.2596609890460968],0.00020602788585161934,2.8631519569014695e-09,5.350842883977691e-05
gamma3,[0.9030730537030369],[0.9031142592430115],4.5628135847472144e-05,1.6978965245945407e-09,4.120553997455367e-05
gamma4,[0.04104246726610428],[0.04101460427045822],0.0006788820824391912,7.763465263720917e-10,2.786299564605521e-05
JXX,[-0.2981621320585077],[-0.29780063033103943],0.0012124333998167057,1.306834989625608e-07,0.0003615017274682941
JXY,[-0.5989112539604846],[-0.5989471077919006],5.9865015357329236e-05,1.285497227208506e-09,3.585383141602172e-05
JXZ,[0.9488189626598429],[0.9492747783660889],0.0004804032425407894,2.0776795806051848e-07,0.00045581570624597667
JYX,[-0.017848451176140756],[-0.018126415088772774],0.015573559290320442,7.726393672569997e-08,0.0002779639126320177
JYY,[-0.3818888638509741],[-0.3816499710083008],0.0006255559281417921,5.7069790280535115e-08,0.00023889284267331057
JYZ,[-0.18004349647137707],[-0.18023869395256042],0.001084168464893056,3.8102056660324754e-08,0.00019519748118335123
JZX,[0.6561123682325138],[0.6563228368759155],0.00032078139902873824,4.429704985534542e-08,0.00021046864340168447
JZY,[-0.2643523124079703],[-0.26411861181259155],0.0008840497487991844,5.461596828038206e-08,0.00023370059537874965
JZZ,[0.635377617060706],[0.6350696682929993],0.0004846704690846167,9.483244353206174e-08,0.00030794876770667834
JIX,[-0.7093276763334386],[-0.709820568561554],0.0006948724046171711,2.429427485364915e-07,0.000492892228115327
JIY,[-0.30097748941397007],[-0.3009170889854431],0.0002006808836254072,3.6482117662394558e-09,6.0400428526952155e-05
JIZ,[-0.6741283351047271],[-0.674175500869751],6.996555784368631e-05,2.224609390283875e-09,4.7165765023837736e-05
JXI,[-0.5082135837716129],[-0.5082947015762329],0.00015961360973088508,6.58009822637769e-09,8.111780462005669e-05
JYI,[0.38476156435115083],[0.3846660852432251],0.0002481513663838698,9.116260050293834e-09,9.547910792573333e-05
JZI,[-0.6899586608088255],[-0.6899060010910034],7.632300428022457e-05,2.773045881102143e-09,5.265971782209e-05
