,treino,previsto,MAPE,MSE,AE
gamma1,[0.9963436915955056],[0.7927014231681824],0.20438957976561134,0.04147017349022598,0.20364226842732325
gamma2,[0.0931113892655685],[0.06274186819791794],0.3261633330486763,0.0009223078098784714,0.030369521067650562
gamma3,[0.02036645837312856],[0.00723794661462307],0.6446143712363465,0.00017235782099321692,0.01312851175850549
gamma4,[0.9398019156431335],[0.9492427706718445],0.010045579681810182,8.91297436731368e-05,0.009440855028710948
JIX,[-0.9754435052040491],[-0.9395155310630798],0.03683245000791065,0.0012908193258741561,0.035927974140969265
JIY,[-0.7752022778395284],[-0.7461777925491333],0.03744117647755853,0.000842420746372364,0.02902448529039514
JIZ,[-0.21432527689851488],[-0.0996108129620552],0.5352353469291357,0.013159408236229308,0.11471446393645968
JXI,[0.3677285469065339],[0.41145431995391846],0.11890774707381749,0.0019119432285913823,0.043725773047384564
JYI,[-0.7226181335707385],[-0.6692543029785156],0.07384789851388215,0.002847698415475457,0.05336383059222283
JZI,[-0.7751128742812254],[-0.7882550358772278],0.016955158444748167,0.00017271641141543888,0.013142161596002344
JXX,[-0.5363952858520995],[-0.3847518265247345],0.28270841173868505,0.022995738756770204,0.151643459327365
JXY,[0.5151849707900231],[0.6102334260940552],0.18449384336324418,0.009034208855682579,0.09504845530403205
JXZ,[-0.7051975580794432],[-0.48981624841690063],0.3054198177445745,0.04638910855195204,0.21538130966254254
JYX,[0.4813103978800122],[0.44034335017204285],0.08511565070776254,0.001678298997907035,0.04096704770796933
JYY,[0.3243333110305264],[0.3652699589729309],0.12621783378442894,0.001675809144760369,0.04093664794240448
JYZ,[-0.7268429513101398],[-0.6835975050926208],0.05949764820525352,0.0018701686185523209,0.04324544621751891
JZX,[0.07132349509557745],[0.012246851809322834],0.828291479646204,0.0034900497819713725,0.059076643286254615
JZY,[-0.10449814012543279],[-0.22535285353660583],1.1565250182070885,0.01460586175369677,0.12085471341117304
JZZ,[-0.17485983364389868],[-0.21655508875846863],0.23844958699596022,0.0017384942990690717,0.04169525511456995
