,treino,previsto,MAPE,MSE,AE
gamma1,[0.7212885992572478],[0.7212194204330444],9.591004803702315e-05,4.785709718153823e-09,6.917882420331978e-05
gamma2,[0.08366591038506865],[0.08359479904174805],0.000849944057183146,5.056823148861203e-09,7.111134332060676e-05
gamma3,[0.679464779137179],[0.6794023513793945],9.187784223885227e-05,3.8972249419905034e-09,6.242775778442233e-05
gamma4,[0.005343265292397037],[0.005404979456216097],0.011549897009020562,3.8086380158857646e-09,6.171416381905992e-05
JXX,[0.40822888780668243],[0.408166766166687],0.00015217355226667328,3.8590981557200795e-09,6.212163999541609e-05
JXY,[0.6079899762951007],[0.6080547571182251],0.00010654916306219047,4.196555044680498e-09,6.4780823124444e-05
JXZ,[0.6062115991790376],[0.6060385704040527],0.00028542636798626486,2.99389569727468e-08,0.00017302877498481806
JYX,[-0.5972657695612691],[-0.5972087979316711],9.538740122306943e-05,3.2457665790455685e-09,5.6971629597946105e-05
JYY,[0.6388346370785187],[0.638705313205719],0.0002024371649463972,1.672466407592227e-08,0.0001293238727997359
JYZ,[0.30593781135973064],[0.30606502294540405],0.00041580864133147473,1.6182787529544506e-08,0.00012721158567341462
JZX,[-0.7051380860833518],[-0.7051398754119873],2.5375577788184727e-06,3.2016969657558017e-12,1.7893286354819793e-06
JZY,[0.7226628276219034],[0.7226229310035706],5.520779097508387e-05,1.5917401543941587e-09,3.9896618332813105e-05
JZZ,[-0.11992738845557072],[-0.12001939117908478],0.0007671535643265174,8.46450113400492e-09,9.200272351406191e-05
JIX,[-0.047683475541308695],[-0.04760948568582535],0.001551687553044433,5.474498714446627e-09,7.398985548334736e-05
JIY,[0.2604381086377703],[0.2603611648082733],0.00029543997957681467,5.920352897658344e-09,7.69438294969671e-05
JIZ,[-0.19207806086305412],[-0.19196991622447968],0.0005630244187624929,1.1695262852397939e-08,0.00010814463857444778
JXI,[0.8400480253526539],[0.8398779034614563],0.00020251448258111878,2.8941457864642353e-08,0.00017012189119758325
JYI,[-0.9662967591954601],[-0.9660025835037231],0.0003044361775381345,8.653933760891487e-08,0.0002941756917369531
JZI,[0.9752211014725047],[0.9749521613121033],0.00027577352458369424,7.232880987676582e-08,0.0002689401604014652
