,treino,previsto,MAPE,MSE,AE
gamma1,[0.011103140095212849],[0.010921346955001354],0.016373128561160404,3.3048745827956185e-08,0.00018179314021149473
gamma2,[0.06936843811723081],[0.07004877179861069],0.00980753927643763,4.6285391801989243e-07,0.0006803336813798744
gamma3,[0.17029397548628933],[0.1701832264661789],0.0006503402119433815,1.2265345455421407e-08,0.00011074902011043442
gamma4,[0.23062657285541344],[0.22939525544643402],0.0053390092639123785,1.516142561655781e-06,0.0012313174089794154
JXX,[0.8384859880845335],[0.8384276628494263],6.956017862674351e-05,3.4018330503080187e-09,5.832523510718168e-05
JXY,[-0.6817044022321801],[-0.6806977987289429],0.0014765982146238037,1.013250612729453e-06,0.0010066035032372245
JXZ,[0.9895603626777179],[0.9880256056785583],0.0015509483373065806,2.3554790464690836e-06,0.0015347569991595034
JYX,[-0.1740409161067018],[-0.17341551184654236],0.0035934323614799863,3.9113048862558355e-07,0.0006254042601594456
JYY,[-0.6337030386141642],[-0.633119523525238],0.0009208021003059401,3.404898590045262e-07,0.0005835150889261786
JYZ,[-0.3078017914359601],[-0.30642765760421753],0.004464346439739483,1.8882437875394993e-06,0.0013741338317425633
JZX,[0.2615917474199978],[0.26128000020980835],0.001191731823591994,9.71863230609053e-08,0.0003117472101894503
JZY,[-0.931611574528584],[-0.9303873181343079],0.001314127505227323,1.4988037189260311e-06,0.0012242563942761464
JZZ,[-0.22563199046343807],[-0.22521446645259857],0.0018504645993767225,1.743262996275016e-07,0.0004175240108394984
JIX,[0.9567097167419933],[0.9560814499855042],0.0006566952812277381,3.94719117309451e-07,0.0006282667564891931
JIY,[-0.8909546899790852],[-0.8898749947547913],0.0012118407775813037,1.165741777363193e-06,0.001079695224293964
JIZ,[0.45132344234864985],[0.4499722719192505],0.0029937962503520377,1.8256615292832563e-06,0.001351170429399362
JXI,[-0.032276513351115144],[-0.03161776810884476],0.020409430073946543,4.339452942138703e-07,0.0006587452422703866
JYI,[0.8834464903328145],[0.8837376832962036],0.0003296101875727497,8.479334192731782e-08,0.0002911929633890864
JZI,[-0.18629102358141614],[-0.18587017059326172],0.002259115764482824,1.7711723763850333e-07,0.00042085298815441874
