,treino,previsto,MAPE,MSE,AE
gamma1,[0.4038939304443483],[0.41238176822662354],0.021015016920252445,7.204339021821911e-05,0.008487837782275243
gamma2,[0.9838452116221412],[0.9746084809303284],0.00938839827922072,8.53171938730776e-05,0.009236730691812856
gamma3,[0.8525733211181529],[0.8429887294769287],0.011241955857419906,9.186439692902405e-05,0.00958459164122416
gamma4,[0.02834460540810857],[0.02704637497663498],0.045801675937326834,1.6854022532041047e-06,0.0012982304314735904
JIX,[-0.512964474581326],[-0.5000705122947693],0.02513617009653654,0.0001662542634471466,0.012893962286556704
JIY,[0.004417979006311912],[0.00641546631231904],0.4521269347711574,3.989955537659616e-06,0.0019974873060071285
JIZ,[-0.6761249714183881],[-0.6727704405784607],0.004961406517629763,1.1252877156024213e-05,0.0033545308399274276
JXI,[0.6424444316865625],[0.5693715214729309],0.11374199325192783,0.005339650207089466,0.0730729102136316
JYI,[-0.5372009749323281],[-0.48126524686813354],0.1041243978964127,0.0031288056740715227,0.055935728064194556
JZI,[0.10465728127714469],[0.22791846096515656],1.1777601919698437,0.015193318418080349,0.12326117968801187
JXX,[0.8527148495207293],[0.8351022601127625],0.020654723461032774,0.00031020330565362567,0.01761258940796684
JXY,[-0.20524249153897567],[-0.16311392188072205],0.20526241589818833,0.0017748163814503277,0.04212856965825362
JXZ,[0.9357357839289453],[0.9521134495735168],0.01750244665839901,0.00026822793196537917,0.01637766564457155
JYX,[0.46294383251575466],[0.3977254033088684],0.14087762839926543,0.0042534435082136335,0.06521842920688625
JYY,[0.09623021667461118],[0.06384420394897461],0.3365472285607054,0.001048853820265094,0.03238601272563657
JYZ,[0.2578467628719523],[0.25265783071517944],0.020124092693572793,2.6925016927591362e-05,0.005188932156772852
JZX,[0.17212874681714885],[0.15306240320205688],0.11076792207954668,0.00036352545884875805,0.019066343615091963
JZY,[-0.27955778856918556],[-0.250652551651001],0.10339628549118765,0.0008355127212963811,0.028905236918184585
JZZ,[0.9934358936204937],[0.9352964162826538],0.05852363268852248,0.003380198825117195,0.05813947733783986
