,treino,previsto,MAPE,MSE,AE
gamma1,[0.5139289405222758],[0.5142989158630371],0.0007198959069815104,1.3688175277146257e-07,0.00036997534076133043
gamma2,[0.2979079699160261],[0.29858434200286865],0.0022704061493662767,4.5747919985977216e-07,0.0006763720868425693
gamma3,[0.5798623379994603],[0.5795157551765442],0.0005976984539327521,1.201196531404985e-07,0.0003465828229161083
gamma4,[0.9610460637489058],[0.9600037932395935],0.0010845167038575861,1.0863278145820605e-06,0.0010422705093122708
JXX,[-0.0993246484870236],[-0.09657435119152069],0.027689977637949847,7.5641352136506355e-06,0.0027502972955029126
JXY,[0.5258626616390383],[0.5274093151092529],0.0029411737760463115,2.3921369569270316e-06,0.001546653470214654
JXZ,[0.21218691768397302],[0.21101108193397522],0.005541509169519425,1.382589710972889e-06,0.0011758357499978
JYX,[0.8117454546265361],[0.8103682398796082],0.001696609126763268,1.8967204591558983e-06,0.0013772147469279794
JYY,[-0.4226432633318953],[-0.4196624159812927],0.007052868480862883,8.885450927594276e-06,0.0029808473506025557
JYZ,[-0.2842197832227855],[-0.283510684967041],0.002494894084092218,5.028203362998927e-07,0.0007090982557445002
JZX,[-0.3905193107940479],[-0.3892965614795685],0.003131085405208716,1.495115886059867e-06,0.00122274931447941
JZY,[-0.7355236768235658],[-0.7348437905311584],0.0009243567730456992,4.6224537060339767e-07,0.000679886292407339
JZZ,[-0.8493298111601335],[-0.8457440137863159],0.004221913945207699,1.2857942806077123e-05,0.0035857973738175897
JIX,[0.011880827540495353],[0.011739479377865791],0.011897164751174291,1.9979303078753127e-08,0.00014134816262956207
JIY,[-0.09343057367074792],[-0.09133321791887283],0.022448280787253094,4.398901149923504e-06,0.002097355751875085
JIZ,[0.11594165163533754],[0.11649291217327118],0.004754637614336199,3.038881806828861e-07,0.0005512605379336399
JXI,[-0.23155824126417013],[-0.23327702283859253],0.007422675025681993,2.954210100573948e-06,0.001718781574422401
JYI,[0.6690422746144482],[0.6679525971412659],0.0016287124364604475,1.1873969955610444e-06,0.0010896774731823378
JZI,[-0.6811824865810532],[-0.6796844005584717],0.0021992433042437682,2.244261731054064e-06,0.0014980860225815018
