,treino,previsto
gamma1,[0.24226755574639336],[0.2562394142150879]
gamma2,[0.3055582060124523],[0.2734489440917969]
gamma3,[0.2523120847554935],[0.25805482268333435]
gamma4,[0.41210709911609533],[0.41189733147621155]
JIX,[-0.6109255041336379],[-0.6117548942565918]
JIY,[0.6121546029321616],[0.5785941481590271]
JIZ,[-0.25588029746786645],[-0.254315584897995]
JXI,[0.6840539845332714],[0.6702703833580017]
JYI,[0.5925904370985218],[0.5609866380691528]
JZI,[0.1486956182422896],[0.163585364818573]
JXX,[0.11579696496935821],[0.13315244019031525]
JXY,[-0.9168161896383005],[-0.9689012169837952]
JXZ,[0.7764692864270932],[0.7311291694641113]
JYX,[0.630126152520613],[0.6907193660736084]
JYY,[-0.2637592699233906],[-0.18985657393932343]
JYZ,[-0.8583209270734289],[-0.8686558604240417]
JZX,[-0.12423623395790906],[-0.1252819001674652]
JZY,[0.3453540669849615],[0.3217364549636841]
JZZ,[0.6439525830042963],[0.7168582081794739]
