,treino,previsto
gamma1,[0.5692400158763194],[0.5693406462669373]
gamma2,[0.20163093417246258],[0.20169121026992798]
gamma3,[0.0707877197891501],[0.07082343101501465]
gamma4,[0.2025520288489131],[0.2024790495634079]
JIX,[0.3542516536005407],[0.35366126894950867]
JIY,[0.5698227121742216],[0.5694617629051208]
JIZ,[0.04093231440616307],[0.041160911321640015]
JXI,[0.022983404986520295],[0.02282923273742199]
JYI,[-0.21293067414807032],[-0.21310603618621826]
JZI,[0.993633874195798],[0.9928295612335205]
JXX,[-0.42127010845085855],[-0.42110684514045715]
JXY,[-0.7034804136306108],[-0.7032581567764282]
JXZ,[-0.47784285086888345],[-0.477572500705719]
JYX,[-0.479125612797342],[-0.4793206751346588]
JYY,[-0.34526597011077853],[-0.3451734185218811]
JYZ,[-0.4641783113105735],[-0.4645117521286011]
JZX,[-0.7847121242687085],[-0.7839199900627136]
JZY,[-0.3490005150854374],[-0.3486954867839813]
JZZ,[-0.37786985899715697],[-0.3781822621822357]
