,treino,previsto
gamma1,[0.15491558217844614],[0.1549181193113327]
gamma2,[0.217104494779929],[0.21696823835372925]
gamma3,[0.07331842499805508],[0.07302512973546982]
gamma4,[0.06350515136467705],[0.06336427479982376]
JXX,[0.5239700143912078],[0.5240543484687805]
JXY,[-0.6687169051968782],[-0.6686341762542725]
JXZ,[0.9321742923082421],[0.9326665997505188]
JYX,[0.7472167858088734],[0.7472425699234009]
JYY,[-0.7849608735281186],[-0.7842954993247986]
JYZ,[0.2986329081714134],[0.29834461212158203]
JZX,[-0.5639013087412308],[-0.5634714961051941]
JZY,[0.023200803347880772],[0.022896448150277138]
JZZ,[0.7006205396143421],[0.6999731659889221]
JIX,[0.0963156568326593],[0.09651829302310944]
JIY,[-0.7362170732482487],[-0.7365705370903015]
JIZ,[0.4230936845360489],[0.42274346947669983]
JXI,[-0.39549988816436876],[-0.395268976688385]
JYI,[0.8766505495505419],[0.8760918378829956]
JZI,[-0.6145633054693405],[-0.6142553687095642]
