,treino,previsto
gamma1,[0.13948974986003737],[0.14015738666057587]
gamma2,[0.163836144803976],[0.16810248792171478]
gamma3,[0.46443579215550523],[0.45332834124565125]
gamma4,[0.8613332758638482],[0.8368306159973145]
JXX,[0.7049624374714418],[0.6838656067848206]
JXY,[0.37205632722347204],[0.36979028582572937]
JXZ,[-0.7289865579589982],[-0.7198980450630188]
JYX,[0.983481168032575],[0.9765408635139465]
JYY,[-0.7552620814992317],[-0.7167614102363586]
JYZ,[-0.7187700777991153],[-0.6956231594085693]
JZX,[-0.6533605986568296],[-0.6369152069091797]
JZY,[-0.17959942931413186],[-0.1749412566423416]
JZZ,[0.33965764099196205],[0.33587828278541565]
JIX,[-0.20502224603708497],[-0.17373299598693848]
JIY,[-0.6209768603323691],[-0.591331958770752]
JIZ,[0.8048786399510626],[0.7173376083374023]
JXI,[0.25107473156469906],[0.26785582304000854]
JYI,[0.05334375453651985],[0.05552420765161514]
JZI,[0.3934534044238047],[0.381881982088089]
