,treino,previsto
gamma1,[0.5142391923392725],[0.5140166282653809]
gamma2,[0.12719542493136293],[0.12741264700889587]
gamma3,[0.822504261347236],[0.8222940564155579]
gamma4,[0.4384186353936572],[0.4381217062473297]
JXX,[0.8672964754196031],[0.8670106530189514]
JXY,[-0.2971753162130415],[-0.29776275157928467]
JXZ,[-0.11667111811504105],[-0.11685600876808167]
JYX,[-0.08656606787375187],[-0.08589569479227066]
JYY,[0.848272819486878],[0.847964882850647]
JYZ,[-0.10800306244401559],[-0.10705225169658661]
JZX,[-0.37329493047038453],[-0.37300726771354675]
JZY,[0.005433166393849609],[0.005836915224790573]
JZZ,[-0.993975301245287],[-0.993529736995697]
JIX,[0.7194568903837308],[0.7193489670753479]
JIY,[0.03055965702624408],[0.030527502298355103]
JIZ,[-0.7727784317840369],[-0.7713069915771484]
JXI,[-0.7587698727847505],[-0.7591257095336914]
JYI,[-0.3817575397810242],[-0.38101840019226074]
JZI,[0.7508252688674453],[0.7509540915489197]
