,treino,previsto
gamma1,[0.041785415602753395],[0.054250724613666534]
gamma2,[0.7335413506775065],[0.7522828578948975]
gamma3,[0.1060683270342535],[0.13576868176460266]
gamma4,[0.3424554918369298],[0.3011881113052368]
JIX,[0.4833378712291465],[0.5614965558052063]
JIY,[0.881607766294431],[1.055464744567871]
JIZ,[0.49480679370832537],[0.31257015466690063]
JXI,[0.8162851259228743],[0.7319309115409851]
JYI,[-0.7780454366399887],[-0.7823044657707214]
JZI,[0.15954636399993594],[0.21430425345897675]
JXX,[-0.1362653751785774],[-0.15042808651924133]
JXY,[-0.4690148425097873],[-0.5068510174751282]
JXZ,[0.7208183359380034],[0.818437933921814]
JYX,[-0.34119700732639613],[-0.380217581987381]
JYY,[0.9473411821310671],[0.956171989440918]
JYZ,[-0.2774932061648101],[-0.19509901106357574]
JZX,[0.10724944842999884],[0.16566084325313568]
JZY,[0.5484521505152973],[0.3703720271587372]
JZZ,[0.5634961891752752],[0.6150357723236084]
