,treino,previsto
gamma1,[0.7808225146632043],[0.7817928791046143]
gamma2,[0.4458428536123128],[0.39332348108291626]
gamma3,[0.09635672042981958],[0.12756149470806122]
gamma4,[0.031698349795664105],[0.04343457520008087]
JIX,[0.819538475847744],[0.8615699410438538]
JIY,[-0.41184191848264295],[-0.3848123550415039]
JIZ,[-0.08113224133756103],[0.0014671427197754383]
JXI,[-0.7272825789128776],[-0.6907549500465393]
JYI,[0.9901214406925392],[0.9109991192817688]
JZI,[-0.6907120075849054],[-0.6101849675178528]
JXX,[0.3478791069281282],[0.4027615189552307]
JXY,[0.19605110908336165],[0.2880480885505676]
JXZ,[0.4292474339778447],[0.4812118411064148]
JYX,[-0.17894815197709124],[-0.20942914485931396]
JYY,[-0.2398214007224022],[-0.21857115626335144]
JYZ,[-0.20020701514138461],[-0.20747442543506622]
JZX,[-0.8548967912090066],[-0.8119882941246033]
JZY,[-0.36047022384573424],[-0.28242218494415283]
JZZ,[-0.448333704823876],[-0.2902580499649048]
