,treino,previsto
gamma1,[0.8987383567957395],[0.8986532688140869]
gamma2,[0.5675682084836022],[0.5674742460250854]
gamma3,[0.230046952051981],[0.2300206422805786]
gamma4,[0.523269597544914],[0.5231802463531494]
JXX,[-0.9181825549143148],[-0.9178553819656372]
JXY,[-0.16293478520770655],[-0.16297373175621033]
JXZ,[-0.9526802754794608],[-0.9525406956672668]
JYX,[-0.7950883060600384],[-0.7950305342674255]
JYY,[-0.47238671865091586],[-0.47220689058303833]
JYZ,[0.9311461864746311],[0.9308977723121643]
JZX,[-0.036894444765783074],[-0.03674069419503212]
JZY,[0.09337554885649313],[0.09363797307014465]
JZZ,[0.8348075571017148],[0.8347200155258179]
JIX,[-0.2963074883442347],[-0.296149879693985]
JIY,[-0.13962750801980395],[-0.13937266170978546]
JIZ,[-0.0926582728208516],[-0.09275909513235092]
JXI,[-0.31306051824349357],[-0.31290045380592346]
JYI,[0.024888729848817848],[0.024934839457273483]
JZI,[-0.21516919708905635],[-0.2154548168182373]
