,treino,previsto
gamma1,[0.9059729815293226],[0.9108996987342834]
gamma2,[0.05882432741086607],[0.06986846029758453]
gamma3,[0.8188201278420804],[0.820932924747467]
gamma4,[0.07460963363587747],[0.06819605082273483]
JIX,[-0.05085864262290385],[-0.08819705247879028]
JIY,[0.31494500531451064],[0.3489866852760315]
JIZ,[0.3328209422496762],[0.3857986032962799]
JXI,[-0.7147992941492645],[-0.7438666820526123]
JYI,[-0.9782791138198641],[-1.0997956991195679]
JZI,[-0.25049101587327116],[-0.24156825244426727]
JXX,[-0.4519037210433372],[-0.4406767785549164]
JXY,[0.6206961044701675],[0.5889025330543518]
JXZ,[0.3811853060773691],[0.30981454253196716]
JYX,[0.2029140774554663],[0.18338461220264435]
JYY,[0.11638009550669604],[0.11873208731412888]
JYZ,[0.322642171744002],[0.23197203874588013]
JZX,[-0.709394410579794],[-0.682663083076477]
JZY,[-0.11989041615046037],[-0.10818726569414139]
JZZ,[-0.6754653552222227],[-0.6937040686607361]
