,treino,previsto
gamma1,[0.8419027314789557],[0.8415685892105103]
gamma2,[0.5995547289462685],[0.5989769697189331]
gamma3,[0.9174626648558603],[0.9171655774116516]
gamma4,[0.9721691074362717],[0.9713637828826904]
JIX,[0.07816312921162116],[0.0782918706536293]
JIY,[-0.42160711272055895],[-0.42060142755508423]
JIZ,[-0.9399261828977459],[-0.937479555606842]
JXI,[0.3072715077855237],[0.30658239126205444]
JYI,[-0.5799826089005378],[-0.5797008275985718]
JZI,[-0.48544605004078156],[-0.4850253164768219]
JXX,[-0.20560347473354512],[-0.2056964486837387]
JXY,[0.2831563075493455],[0.2827877700328827]
JXZ,[0.9776224208074429],[0.9766589999198914]
JYX,[-0.07693397987474992],[-0.07653282582759857]
JYY,[0.9869700152033374],[0.9862260818481445]
JYZ,[0.9851439883172557],[0.9850667119026184]
JZX,[-0.5146489288531135],[-0.5146991610527039]
JZY,[-0.8547097742573173],[-0.8532273173332214]
JZZ,[-0.680197955540764],[-0.6798726916313171]
