,treino,previsto
gamma1,[0.5901527546316861],[0.5898215770721436]
gamma2,[0.6068757160405743],[0.6065131425857544]
gamma3,[0.9811690850890965],[0.9799732565879822]
gamma4,[0.7428108992904813],[0.7419084906578064]
JXX,[-0.3972357250361773],[-0.39697471261024475]
JXY,[0.6815276211230483],[0.6818904876708984]
JXZ,[-0.020560708179608644],[-0.02034938521683216]
JYX,[-0.8336387524805398],[-0.8336270451545715]
JYY,[0.6943414554288729],[0.693407416343689]
JYZ,[-0.545152942348103],[-0.5447903275489807]
JZX,[0.5784393926365736],[0.5778746604919434]
JZY,[-0.8791840075310149],[-0.8782065510749817]
JZZ,[0.3181904168868892],[0.3186696469783783]
JIX,[-0.2588867178073859],[-0.2590145170688629]
JIY,[0.9003708718663839],[0.8998505473136902]
JIZ,[-0.5999070717600636],[-0.5988585352897644]
JXI,[-0.4060517541652038],[-0.4055733382701874]
JYI,[-0.16375735637421673],[-0.16394831240177155]
JZI,[-0.5253895926232446],[-0.5246504545211792]
