,treino,previsto
gamma1,[0.8987383567957395],[0.8611748218536377]
gamma2,[0.5675682084836022],[0.5636162757873535]
gamma3,[0.230046952051981],[0.2264639139175415]
gamma4,[0.523269597544914],[0.5071298480033875]
JIX,[-0.2963074883442347],[-0.40878212451934814]
JIY,[-0.13962750801980395],[-0.14602631330490112]
JIZ,[-0.0926582728208516],[-0.16770896315574646]
JXI,[-0.31306051824349357],[-0.3407675325870514]
JYI,[0.024888729848817848],[-0.013186645694077015]
JZI,[-0.21516919708905635],[-0.029089199379086494]
JXX,[-0.9181825549143148],[-0.9244908094406128]
JXY,[-0.16293478520770655],[-0.16222752630710602]
JXZ,[-0.9526802754794608],[-0.9451146125793457]
JYX,[-0.7950883060600384],[-0.7810600399971008]
JYY,[-0.47238671865091586],[-0.5146027207374573]
JYZ,[0.9311461864746311],[0.8901132345199585]
JZX,[-0.036894444765783074],[-0.16464672982692719]
JZY,[0.09337554885649313],[0.1654524803161621]
JZZ,[0.8348075571017148],[0.7964054346084595]
