,treino,previsto
gamma1,[0.21101029956774453],[0.2138245552778244]
gamma2,[0.8480765801722641],[0.8375189900398254]
gamma3,[0.7173017220824032],[0.7204396724700928]
gamma4,[0.07495132545320449],[0.07656504213809967]
JIX,[-0.4562491712318184],[-0.44120895862579346]
JIY,[-0.02394358429818433],[-0.008274270221590996]
JIZ,[-0.8362413152576669],[-0.8258772492408752]
JXI,[-0.32253302601586054],[-0.3909047245979309]
JYI,[-0.855332784589292],[-0.857465386390686]
JZI,[-0.9779272658402001],[-0.9730192422866821]
JXX,[-0.4322994082024627],[-0.4307500123977661]
JXY,[-0.7645872688839439],[-0.7985093593597412]
JXZ,[-0.37792355037599856],[-0.4359404444694519]
JYX,[0.4869415856794128],[0.484385222196579]
JYY,[-0.9284885689746154],[-0.9395253658294678]
JYZ,[0.24987511436094323],[0.2522971034049988]
JZX,[-0.7299776781859193],[-0.7204269766807556]
JZY,[0.5901424869311658],[0.5911337733268738]
JZZ,[0.47393524876420434],[0.454710453748703]
