,treino,previsto
gamma1,[0.32815001334865257],[0.3397923707962036]
gamma2,[0.2737581923538134],[0.29272282123565674]
gamma3,[0.6737605112059536],[0.6567407846450806]
gamma4,[0.9727359863624989],[0.8655629754066467]
JIX,[-0.10972154968635439],[-0.06658302992582321]
JIY,[-0.4118230353222292],[-0.37673094868659973]
JIZ,[0.8188577481051011],[0.7105945348739624]
JXI,[-0.031387304368323043],[0.0036415033973753452]
JYI,[-0.8259080739809848],[-0.8146243095397949]
JZI,[0.4999159288187607],[0.4820265769958496]
JXX,[-0.849123527714404],[-0.7989650964736938]
JXY,[-0.5949888037030053],[-0.5182605385780334]
JXZ,[-0.8521523054463589],[-0.786660373210907]
JYX,[0.25641529719452016],[0.21204310655593872]
JYY,[0.6850666514970689],[0.7599278092384338]
JYZ,[0.2223887601504444],[0.2406960129737854]
JZX,[-0.555055593525728],[-0.5091744065284729]
JZY,[0.6900198748973474],[0.6532706618309021]
JZZ,[0.7430289704795401],[0.6817725896835327]
