,treino,previsto
gamma1,[0.7905476817951573],[0.6737281084060669]
gamma2,[0.1667763675050825],[0.2129029631614685]
gamma3,[0.30614199209589266],[0.193599134683609]
gamma4,[0.6286784916754126],[0.5012873411178589]
JIX,[-0.3843864905324452],[-0.2976032793521881]
JIY,[0.15591575435007843],[0.3891996443271637]
JIZ,[-0.4687639291636485],[-0.36845335364341736]
JXI,[0.6157921028659785],[0.4174201488494873]
JYI,[-0.0655655579974792],[-0.19961807131767273]
JZI,[-0.3349603865251771],[-0.12092343717813492]
JXX,[0.7935051924165137],[0.6448876857757568]
JXY,[0.5848239797390551],[0.40787526965141296]
JXZ,[0.7192273898749051],[0.6370545625686646]
JYX,[0.33162747111383184],[0.10685627907514572]
JYY,[-0.6290803677731216],[-0.6520121693611145]
JYZ,[-0.22014295985639176],[-0.2555892765522003]
JZX,[-0.5211412662436052],[-0.4941684901714325]
JZY,[0.5862575754447799],[0.7257112264633179]
JZZ,[-0.9816317794849116],[-0.6797933578491211]
