,treino,previsto
gamma1,[0.5692400158763194],[0.569244384765625]
gamma2,[0.20163093417246258],[0.2015455812215805]
gamma3,[0.0707877197891501],[0.07083343714475632]
gamma4,[0.2025520288489131],[0.20238962769508362]
JXX,[-0.42127010845085855],[-0.42118048667907715]
JXY,[-0.7034804136306108],[-0.7031915783882141]
JXZ,[-0.47784285086888345],[-0.4777430593967438]
JYX,[-0.479125612797342],[-0.4791073203086853]
JYY,[-0.34526597011077853],[-0.345163494348526]
JYZ,[-0.4641783113105735],[-0.4643687307834625]
JZX,[-0.7847121242687085],[-0.7842272520065308]
JZY,[-0.3490005150854374],[-0.34878993034362793]
JZZ,[-0.37786985899715697],[-0.3778977692127228]
JIX,[0.3542516536005407],[0.35383015871047974]
JIY,[0.5698227121742216],[0.5695042610168457]
JIZ,[0.04093231440616307],[0.0409049428999424]
JXI,[0.022983404986520295],[0.022888751700520515]
JYI,[-0.21293067414807032],[-0.21298643946647644]
JZI,[0.993633874195798],[0.9930962324142456]
