,treino,previsto
gamma1,[0.5628688113018914],[0.5530166029930115]
gamma2,[0.1447411064167936],[0.14344914257526398]
gamma3,[0.6212680126015702],[0.6109786629676819]
gamma4,[0.9354403775856178],[0.9205601811408997]
JXX,[-0.2505554106105863],[-0.24353046715259552]
JXY,[0.1001806372651497],[0.09113916754722595]
JXZ,[0.6830199055618982],[0.6520987749099731]
JYX,[0.9856124726433224],[0.9557685256004333]
JYY,[0.8570814910534756],[0.8685121536254883]
JYZ,[0.8766170981231314],[0.8678288459777832]
JZX,[-0.891220563811497],[-0.8647266626358032]
JZY,[-0.5173986975921827],[-0.5299254059791565]
JZZ,[0.8920340765929551],[0.8653740286827087]
JIX,[-0.45701777348010886],[-0.4461057782173157]
JIY,[0.08381318894888312],[0.04817739129066467]
JIZ,[0.41626068745402045],[0.36637935042381287]
JXI,[0.917191422295486],[0.8887042999267578]
JYI,[-0.2618426626154975],[-0.24069011211395264]
JZI,[0.06558319034107951],[0.034672439098358154]
