,treino,previsto
gamma1,[0.9009141618624731],[0.9438543319702148]
gamma2,[0.22983153776309395],[0.26715579628944397]
gamma3,[0.44584221367087673],[0.41444307565689087]
gamma4,[0.16676022890484743],[0.12027622014284134]
JIX,[-0.007687660399174678],[-0.18283048272132874]
JIY,[0.7135280737268923],[0.6933330297470093]
JIZ,[-0.8226115535480942],[-0.8259823322296143]
JXI,[-0.24315592595339663],[-0.061723608523607254]
JYI,[-0.901677355883151],[-0.9501059055328369]
JZI,[0.29958585220893297],[0.23054125905036926]
JXX,[-0.6216283712709287],[-0.5035258531570435]
JXY,[-0.3820884662461579],[-0.365957647562027]
JXZ,[0.6372988369628543],[0.6353542804718018]
JYX,[-0.8907656012382117],[-0.9135686755180359]
JYY,[-0.692922154771433],[-0.684032142162323]
JYZ,[-0.397379389990171],[-0.3711095154285431]
JZX,[0.6231667131509544],[0.641486644744873]
JZY,[-0.04911682328475431],[-0.037048403173685074]
JZZ,[0.25230496685491355],[0.3604762554168701]
