,treino,previsto
gamma1,[0.465937574267109],[0.3957381248474121]
gamma2,[0.4306967863428379],[0.2820940911769867]
gamma3,[0.005389255905331569],[-0.02617136389017105]
gamma4,[0.5624015709181892],[0.48908689618110657]
JIX,[-0.6008225872917998],[-0.2581380605697632]
JIY,[0.23010520368993959],[-0.008236045017838478]
JIZ,[-0.7857793521751026],[-0.9410557746887207]
JXI,[0.8103557816972058],[0.6868762969970703]
JYI,[-0.6158465411883403],[-0.4941033124923706]
JZI,[-0.07755771611098128],[0.11034465581178665]
JXX,[0.5424739695589225],[0.5707620978355408]
JXY,[0.8158004931533465],[0.8078171014785767]
JXZ,[0.16443652246127072],[0.0010372643591836095]
JYX,[0.3624441530787714],[0.24678456783294678]
JYY,[0.07276205494110943],[-0.08195154368877411]
JYZ,[0.692585565702907],[0.6516373753547668]
JZX,[-0.5508338991250497],[-0.6207374930381775]
JZY,[0.36813535669462083],[0.27555105090141296]
JZZ,[0.2025907571809149],[0.2084328532218933]
