,treino,previsto
gamma1,[0.7215400323407826],[0.7212746143341064]
gamma2,[0.22876222127045265],[0.22899627685546875]
gamma3,[0.9452706955539223],[0.944462239742279]
gamma4,[0.9014274576114836],[0.9006085991859436]
JXX,[0.3031859454455259],[0.3026401996612549]
JXY,[0.5774467022710263],[0.5773970484733582]
JXZ,[-0.8122808264515302],[-0.811573326587677]
JYX,[-0.9433050469559874],[-0.9429888725280762]
JYY,[0.6715302078397394],[0.6708742380142212]
JYZ,[-0.13446586418989326],[-0.13435521721839905]
JZX,[0.524560164915884],[0.523963212966919]
JZY,[-0.9957878932977786],[-0.9949803948402405]
JZZ,[-0.10922561189039715],[-0.10895596444606781]
JIX,[-0.7312715117751976],[-0.730483889579773]
JIY,[0.6948674738744653],[0.69490647315979]
JIZ,[0.5275492379532281],[0.527902364730835]
JXI,[-0.4898619485211566],[-0.48955079913139343]
JYI,[-0.009129825816118098],[-0.009185831993818283]
JZI,[-0.10101787042252375],[-0.10066605359315872]
