,treino,previsto
gamma1,[0.6356198271421528],[0.6780943870544434]
gamma2,[0.3012944565249175],[0.29260706901550293]
gamma3,[0.30925941853405303],[0.30299726128578186]
gamma4,[0.49610056652766343],[0.5391411781311035]
JIX,[0.1406568462737463],[0.13391168415546417]
JIY,[0.2644659911575571],[0.29039430618286133]
JIZ,[0.634007719766547],[0.6506784558296204]
JXI,[-0.44541829110731035],[-0.49387961626052856]
JYI,[0.30371993601715563],[0.31927111744880676]
JZI,[0.7816219111185623],[0.8312532305717468]
JXX,[0.8176570464277362],[0.8680845499038696]
JXY,[-0.626974881004831],[-0.652442991733551]
JXZ,[0.30345421888232527],[0.3057740330696106]
JYX,[0.23423455571393448],[0.23512962460517883]
JYY,[0.00678767742209474],[0.018709387630224228]
JYZ,[0.9323959303949194],[0.9421521425247192]
JZX,[0.05653244973667082],[0.034363675862550735]
JZY,[-0.10949180599742303],[-0.08239194005727768]
JZZ,[0.8871223132747139],[0.8885309100151062]
