,treino,previsto
gamma1,[0.49653521716587157],[0.49626198410987854]
gamma2,[0.8612924863730758],[0.8604602813720703]
gamma3,[0.3477168575425721],[0.3476935923099518]
gamma4,[0.6615424192381595],[0.6615899801254272]
JXX,[-0.05466902390511197],[-0.05451279506087303]
JXY,[0.3454622280497679],[0.3447340428829193]
JXZ,[0.7649625069950898],[0.7644054293632507]
JYX,[0.38404488297670647],[0.3844946026802063]
JYY,[-0.3087151482695474],[-0.30828920006752014]
JYZ,[0.7946470632001239],[0.794120728969574]
JZX,[-0.366011218325637],[-0.365845650434494]
JZY,[-0.8324319756419407],[-0.8323283195495605]
JZZ,[-0.4976318139645448],[-0.4965517818927765]
JIX,[-0.09830973170998192],[-0.09820819646120071]
JIY,[-0.12676086344783122],[-0.1263742297887802]
JIZ,[-0.91673110829594],[-0.9158346056938171]
JXI,[0.5352545159169328],[0.5350515246391296]
JYI,[0.34691071289664666],[0.34702369570732117]
JZI,[0.341715081425054],[0.34153783321380615]
