,treino,previsto
gamma1,[0.22329304317795007],[0.22318227589130402]
gamma2,[0.6127976930466994],[0.6128184795379639]
gamma3,[0.5280491597094294],[0.5279914736747742]
gamma4,[0.14082943228357703],[0.14082559943199158]
JXX,[0.2160727927839059],[0.21625953912734985]
JXY,[-0.6598174185959966],[-0.6597565412521362]
JXZ,[-0.31086587417068134],[-0.3107122778892517]
JYX,[-0.4660733683391636],[-0.46601152420043945]
JYY,[-0.34104270306109696],[-0.3407350778579712]
JYZ,[0.4531936542370709],[0.4531528651714325]
JZX,[-0.05389867737286291],[-0.05397530645132065]
JZY,[0.9255837762933885],[0.9255562424659729]
JZZ,[0.16568282843738324],[0.16568055748939514]
JIX,[0.2789473894406407],[0.27911436557769775]
JIY,[-0.14195803173618882],[-0.14195871353149414]
JIZ,[0.44859764131257807],[0.44850125908851624]
JXI,[-0.8675370608806985],[-0.8674948811531067]
JYI,[0.39572582339265283],[0.39576536417007446]
JZI,[-0.25013652378796336],[-0.25012317299842834]
