,treino,previsto
gamma1,[0.9238491686434372],[0.9234098196029663]
gamma2,[0.7081149807839483],[0.707547128200531]
gamma3,[0.04844033403057124],[0.04847375303506851]
gamma4,[0.8813673855462563],[0.8811672925949097]
JIX,[0.9164187596345457],[0.9144976735115051]
JIY,[-0.7192628198472104],[-0.7183486223220825]
JIZ,[-0.9527677057223489],[-0.9524831175804138]
JXI,[0.997261307345829],[0.9968802332878113]
JYI,[-0.6314927085942939],[-0.631367564201355]
JZI,[-0.75881587356935],[-0.7577606439590454]
JXX,[0.3028424811158388],[0.30285385251045227]
JXY,[-0.3087103248748666],[-0.30927774310112]
JXZ,[0.7791018795916058],[0.7785936594009399]
JYX,[-0.536517020027848],[-0.536067008972168]
JYY,[0.9189701236733989],[0.9186514616012573]
JYZ,[-0.36109632289252636],[-0.36047792434692383]
JZX,[0.20228457717799309],[0.20131616294384003]
JZY,[0.8641752086877563],[0.8643563985824585]
JZZ,[0.3705207367707548],[0.37036260962486267]
