,treino,previsto
gamma1,[0.4196168693608048],[0.4194818139076233]
gamma2,[0.7304536193560192],[0.7303533554077148]
gamma3,[0.4472075177512177],[0.44726094603538513]
gamma4,[0.17043578788226488],[0.17045822739601135]
JIX,[0.09623810762339824],[0.09578163176774979]
JIY,[-0.3083363533238903],[-0.30869558453559875]
JIZ,[0.6897021771332552],[0.6889871954917908]
JXI,[-0.42280512918931357],[-0.4223175346851349]
JYI,[0.02069005261749912],[0.0210591908544302]
JZI,[-0.31237144182748366],[-0.31125444173812866]
JXX,[-0.16901214393001562],[-0.16907449066638947]
JXY,[0.9477175926021346],[0.9473407864570618]
JXZ,[-0.7925346218433929],[-0.791786253452301]
JYX,[-0.11059342843000564],[-0.11045461893081665]
JYY,[-0.5503848671455052],[-0.5501960515975952]
JYZ,[-0.3008668707978617],[-0.30057093501091003]
JZX,[0.9974802210612592],[0.9962093234062195]
JZY,[-0.3414020699641964],[-0.3414759039878845]
JZZ,[0.21555557164949524],[0.215641587972641]
