,treino,previsto
gamma1,[0.4335270462955384],[0.4298209547996521]
gamma2,[0.8554088477491049],[0.8471972346305847]
gamma3,[0.9372801278909322],[0.9294652342796326]
gamma4,[0.5687076940748169],[0.5613588094711304]
JXX,[0.03579855711022262],[0.027475006878376007]
JXY,[-0.5955356590317753],[-0.5797699689865112]
JXZ,[-0.7792109396740667],[-0.7592857480049133]
JYX,[-0.4897951571405561],[-0.48077401518821716]
JYY,[0.559631598803906],[0.5620655417442322]
JYZ,[-0.9491812971888518],[-0.9459512829780579]
JZX,[-0.2956259316551795],[-0.2874533236026764]
JZY,[-0.15528266879590258],[-0.14314046502113342]
JZZ,[0.10612110780233319],[0.14620712399482727]
JIX,[-0.4403690528540243],[-0.4339558184146881]
JIY,[0.0042808872494692896],[0.016294583678245544]
JIZ,[0.12829563294553736],[0.16746632754802704]
JXI,[-0.07807628366854513],[-0.060025908052921295]
JYI,[0.1734731208329543],[0.16778872907161713]
JZI,[-0.02553243332706523],[0.021742386743426323]
