,treino,previsto
gamma1,[0.752661321489852],[0.7326900362968445]
gamma2,[0.08640318215808296],[0.08222353458404541]
gamma3,[0.06123324013652631],[0.046234577894210815]
gamma4,[0.2552168722437148],[0.2697281241416931]
JIX,[0.057870765880824626],[0.06976834684610367]
JIY,[0.1714937094997233],[0.20269665122032166]
JIZ,[0.6866524104671512],[0.7190156579017639]
JXI,[0.7972892825291862],[0.7427551746368408]
JYI,[0.7643730549373535],[0.793512761592865]
JZI,[-0.27060839601498476],[-0.2734677195549011]
JXX,[0.897680879601374],[0.9070640802383423]
JXY,[-0.15185093946021722],[-0.12056209146976471]
JXZ,[-0.3876324692199542],[-0.3763887286186218]
JYX,[-0.810934207081069],[-0.812217652797699]
JYY,[0.02335624132357239],[0.04573113098740578]
JYZ,[-0.6903533027098527],[-0.7625495791435242]
JZX,[-0.45154086728282516],[-0.43789011240005493]
JZY,[0.22117069365781794],[0.25437840819358826]
JZZ,[0.5527549260102405],[0.5808882713317871]
