,treino,previsto
gamma1,[0.3375473620472763],[0.3260914385318756]
gamma2,[0.4335188106185648],[0.42505109310150146]
gamma3,[0.14416802024761088],[0.15016862750053406]
gamma4,[0.7287254214522619],[0.7446200251579285]
JIX,[-0.01102512804113065],[0.032287366688251495]
JIY,[0.11338346029479829],[0.06242503225803375]
JIZ,[0.6194855109905537],[0.5434223413467407]
JXI,[-0.358768861095224],[-0.33991092443466187]
JYI,[-0.35806504184041565],[-0.31135624647140503]
JZI,[0.38633367460551105],[0.34611865878105164]
JXX,[-0.02766565445920155],[-0.03880522772669792]
JXY,[-0.2813102593254373],[-0.27046799659729004]
JXZ,[-0.188999914209238],[-0.22542528808116913]
JYX,[-0.340400904802481],[-0.3234359622001648]
JYY,[-0.6648234377107922],[-0.5876877903938293]
JYZ,[0.26359431455016225],[0.28638631105422974]
JZX,[0.7875587270091329],[0.8896268010139465]
JZY,[0.3776271654931602],[0.37871721386909485]
JZZ,[0.2695593710882205],[0.2852303981781006]
