,treino,previsto
gamma1,[0.7863044343329872],[0.7196812629699707]
gamma2,[0.9717550117964577],[0.9520655274391174]
gamma3,[0.028791618843824085],[0.06353394687175751]
gamma4,[0.9378945220576308],[0.7184004187583923]
JIX,[0.49458253244656714],[0.5878568887710571]
JIY,[-0.5944947353081806],[-0.7865309715270996]
JIZ,[-0.5896826918056928],[-0.8432549238204956]
JXI,[0.2015142521860358],[0.3273538649082184]
JYI,[-0.8864854257125787],[-0.9568812251091003]
JZI,[0.5526572011585595],[0.17308075726032257]
JXX,[0.5288222950287738],[0.3103433847427368]
JXY,[-0.9165274392042873],[-0.7657955288887024]
JXZ,[0.36678988670422896],[0.19986873865127563]
JYX,[0.005474927598498214],[0.13594715297222137]
JYY,[0.2708874110817623],[0.32400912046432495]
JYZ,[0.9074652976162696],[0.9254140853881836]
JZX,[0.9735150597652436],[1.220201849937439]
JZY,[-0.18171866659490643],[-0.19311299920082092]
JZZ,[0.6882869035295207],[1.0290625095367432]
