,treino,previsto
gamma1,[0.5808813852633757],[0.5806732177734375]
gamma2,[0.7594878838401685],[0.7589917182922363]
gamma3,[0.2084530917276468],[0.20877757668495178]
gamma4,[0.062205782406492105],[0.06216948479413986]
JIX,[0.5830518719229318],[0.5820000767707825]
JIY,[-0.9379325277179429],[-0.937358558177948]
JIZ,[0.6754839419077516],[0.6748766303062439]
JXI,[-0.3650404551155011],[-0.3640902638435364]
JYI,[-0.9759637002846477],[-0.9757302403450012]
JZI,[-0.8606398745222861],[-0.86092609167099]
JXX,[0.004466619199896327],[0.004470956511795521]
JXY,[0.2631832108452503],[0.2629650831222534]
JXZ,[0.642755936407096],[0.6419110894203186]
JYX,[0.6342042740943745],[0.6338027119636536]
JYY,[-0.794756935787041],[-0.7938787341117859]
JYZ,[0.727560333989069],[0.7273489832878113]
JZX,[-0.8084007354409559],[-0.8075979948043823]
JZY,[0.6392892064009212],[0.6390628218650818]
JZZ,[-0.07912719249258626],[-0.07869973033666611]
