,treino,previsto
gamma1,[0.6697331158548405],[0.655329704284668]
gamma2,[0.968985475592904],[0.9821608066558838]
gamma3,[0.8927731180625529],[0.8467552661895752]
gamma4,[0.9074960881017821],[0.9413967132568359]
JIX,[-0.5516290503053471],[-0.4941672086715698]
JIY,[0.8652805931946954],[0.7953317761421204]
JIZ,[0.8914872178362601],[1.0124757289886475]
JXI,[-0.9544828513835384],[-0.8367295265197754]
JYI,[0.6938338920461884],[0.7052088379859924]
JZI,[0.42874637280803074],[0.32625123858451843]
JXX,[0.3597921523702974],[0.4439769685268402]
JXY,[-0.9788509022210652],[-0.8922703862190247]
JXZ,[0.6566237432499853],[0.742933452129364]
JYX,[-0.24347586207152738],[-0.281936913728714]
JYY,[0.6131158903393255],[0.653910219669342]
JYZ,[0.07210550155686524],[0.2796471118927002]
JZX,[0.5225812965223957],[0.6168609857559204]
JZY,[0.45724655065782316],[0.35458672046661377]
JZZ,[-0.32218083756748106],[-0.1300048530101776]
