,treino,previsto
gamma1,[0.5739411879281008],[0.573602557182312]
gamma2,[0.013114189588902203],[0.013275723904371262]
gamma3,[0.21672980046384815],[0.21646437048912048]
gamma4,[0.2794823660111103],[0.27954596281051636]
JXX,[-0.9419895434327705],[-0.941421389579773]
JXY,[-0.0687546912437893],[-0.06901366263628006]
JXZ,[0.8867134339966274],[0.8868489861488342]
JYX,[0.2979491062738484],[0.2973676323890686]
JYY,[0.8018009835012454],[0.8014571666717529]
JYZ,[-0.7735880706937113],[-0.7730856537818909]
JZX,[-0.06186190443567252],[-0.06204386055469513]
JZY,[-0.5068543347603394],[-0.5064139366149902]
JZZ,[0.08752171847186085],[0.08742788434028625]
JIX,[0.24580338977940386],[0.24594780802726746]
JIY,[0.4835739785214588],[0.4839968681335449]
JIZ,[0.5903871311313933],[0.5899608135223389]
JXI,[0.8849005675541006],[0.8849930763244629]
JYI,[0.4797971494798614],[0.48011553287506104]
JZI,[0.844649993330834],[0.8445818424224854]
