,treino,previsto
gamma1,[0.37397978322450376],[0.37398532032966614]
gamma2,[0.3881118510774686],[0.3880905210971832]
gamma3,[0.6823688165291463],[0.6824283599853516]
gamma4,[0.15227653430017296],[0.15222468972206116]
JIX,[-0.19204385011266734],[-0.1927533894777298]
JIY,[-0.5998491108501092],[-0.5995896458625793]
JIZ,[-0.6423953588267755],[-0.6419583559036255]
JXI,[-0.5031373629980624],[-0.5035601854324341]
JYI,[0.5197548730161559],[0.5201277136802673]
JZI,[-0.4976979832495598],[-0.49697422981262207]
JXX,[-0.23386483593564344],[-0.23346437513828278]
JXY,[0.3686172768546372],[0.36853519082069397]
JXZ,[0.07725826039666361],[0.07690306007862091]
JYX,[0.87675371205687],[0.8765451908111572]
JYY,[-0.021450084455786333],[-0.021288687363266945]
JYZ,[-0.15672141727468958],[-0.15665102005004883]
JZX,[0.22643212360750375],[0.22587132453918457]
JZY,[-0.5666153759864867],[-0.5665022730827332]
JZZ,[0.8039986310648337],[0.804314374923706]
