,treino,previsto
gamma1,[0.4212483616141941],[0.4548978805541992]
gamma2,[0.512633924392356],[0.5256133079528809]
gamma3,[0.7342090787834955],[0.7393876314163208]
gamma4,[0.3589963597861997],[0.1849851906299591]
JIX,[0.8497305032518905],[0.647119402885437]
JIY,[0.8972115559863543],[0.9650395512580872]
JIZ,[0.7848666880971586],[0.5191168189048767]
JXI,[-0.8328986463386328],[-0.7336684465408325]
JYI,[0.18405445377147056],[0.24716268479824066]
JZI,[-0.15250518353007725],[-0.021076800301671028]
JXX,[0.06017602023601287],[0.15186485648155212]
JXY,[-0.7393941175050389],[-0.8719426989555359]
JXZ,[-0.6160056849214146],[-0.5561138987541199]
JYX,[-0.11085285225397401],[-0.0955861508846283]
JYY,[-0.5579216536855618],[-0.6663403511047363]
JYZ,[-0.08993408230456712],[-0.1521417498588562]
JZX,[-0.950466065020863],[-1.003653883934021]
JZY,[-0.8284518274474977],[-0.9601103663444519]
JZZ,[0.42001640048982014],[0.46552538871765137]
