,treino,previsto
gamma1,[0.8987383567957395],[0.8984415531158447]
gamma2,[0.5675682084836022],[0.5672540068626404]
gamma3,[0.230046952051981],[0.2302645444869995]
gamma4,[0.523269597544914],[0.5232745409011841]
JIX,[-0.2963074883442347],[-0.29631420969963074]
JIY,[-0.13962750801980395],[-0.14003412425518036]
JIZ,[-0.0926582728208516],[-0.09308427572250366]
JXI,[-0.31306051824349357],[-0.3125245273113251]
JYI,[0.024888729848817848],[0.02550080046057701]
JZI,[-0.21516919708905635],[-0.216073140501976]
JXX,[-0.9181825549143148],[-0.917326807975769]
JXY,[-0.16293478520770655],[-0.16303996741771698]
JXZ,[-0.9526802754794608],[-0.9522976875305176]
JYX,[-0.7950883060600384],[-0.7946023344993591]
JYY,[-0.47238671865091586],[-0.4716772139072418]
JYZ,[0.9311461864746311],[0.9308271408081055]
JZX,[-0.036894444765783074],[-0.035992104560136795]
JZY,[0.09337554885649313],[0.09384220838546753]
JZZ,[0.8348075571017148],[0.835447371006012]
