,treino,previsto
gamma1,[0.5139289405222758],[0.4430331587791443]
gamma2,[0.2979079699160261],[0.34270164370536804]
gamma3,[0.5798623379994603],[0.47958433628082275]
gamma4,[0.9610460637489058],[0.8453118205070496]
JIX,[0.011880827540495353],[-0.17977233231067657]
JIY,[-0.09343057367074792],[0.14345277845859528]
JIZ,[0.11594165163533754],[0.3562488555908203]
JXI,[-0.23155824126417013],[-0.3236042559146881]
JYI,[0.6690422746144482],[0.5924568772315979]
JZI,[-0.6811824865810532],[-0.3019372522830963]
JXX,[-0.0993246484870236],[-0.055194880813360214]
JXY,[0.5258626616390383],[0.7273752093315125]
JXZ,[0.21218691768397302],[0.19923004508018494]
JYX,[0.8117454546265361],[0.4771313965320587]
JYY,[-0.4226432633318953],[-0.3940899670124054]
JYZ,[-0.2842197832227855],[-0.19469615817070007]
JZX,[-0.3905193107940479],[-0.39707738161087036]
JZY,[-0.7355236768235658],[-0.4766143560409546]
JZZ,[-0.8493298111601335],[-0.4919302761554718]
