,treino,previsto
gamma1,[0.24226755574639336],[0.26710397005081177]
gamma2,[0.3055582060124523],[0.20822228491306305]
gamma3,[0.2523120847554935],[0.2630431056022644]
gamma4,[0.41210709911609533],[0.4040803611278534]
JIX,[-0.6109255041336379],[-0.6093505620956421]
JIY,[0.6121546029321616],[0.5386160016059875]
JIZ,[-0.25588029746786645],[-0.2150787115097046]
JXI,[0.6840539845332714],[0.615841805934906]
JYI,[0.5925904370985218],[0.48574861884117126]
JZI,[0.1486956182422896],[0.14173093438148499]
JXX,[0.11579696496935821],[0.17897063493728638]
JXY,[-0.9168161896383005],[-1.06296968460083]
JXZ,[0.7764692864270932],[0.6853342652320862]
JYX,[0.630126152520613],[0.8346132040023804]
JYY,[-0.2637592699233906],[-0.059118613600730896]
JYZ,[-0.8583209270734289],[-0.9303524494171143]
JZX,[-0.12423623395790906],[-0.13158176839351654]
JZY,[0.3453540669849615],[0.3486524224281311]
JZZ,[0.6439525830042963],[0.8477968573570251]
