,treino,previsto
gamma1,[0.15715716159662585],[0.1572747677564621]
gamma2,[0.23801220246653276],[0.23798298835754395]
gamma3,[0.11094752797801466],[0.11091587692499161]
gamma4,[0.5062690516689823],[0.5062928795814514]
JIX,[-0.0739852843699571],[-0.07340043783187866]
JIY,[-0.2533761372099159],[-0.2534046471118927]
JIZ,[-0.7229211749710895],[-0.7237811088562012]
JXI,[0.7331236999726827],[0.7327433228492737]
JYI,[-0.9871298918377533],[-0.9870663285255432]
JZI,[0.005564160104416738],[0.006215965840965509]
JXX,[0.7965959400638762],[0.7955994606018066]
JXY,[-0.838370705633998],[-0.8380929827690125]
JXZ,[0.10854093635657214],[0.10940016806125641]
JYX,[0.2333000853672369],[0.23309940099716187]
JYY,[-0.9182084690303769],[-0.9190399050712585]
JYZ,[-0.2419607912091286],[-0.24166515469551086]
JZX,[0.4069607845874941],[0.4063575863838196]
JZY,[-0.09595815909994854],[-0.09561783820390701]
JZZ,[0.4501307371644181],[0.4494374692440033]
