,treino,previsto
gamma1,[0.32815001334865257],[0.34403201937675476]
gamma2,[0.2737581923538134],[0.2973939776420593]
gamma3,[0.6737605112059536],[0.6418549418449402]
gamma4,[0.9727359863624989],[0.795866072177887]
JIX,[-0.10972154968635439],[-0.04200444743037224]
JIY,[-0.4118230353222292],[-0.3564157485961914]
JIZ,[0.8188577481051011],[0.673774778842926]
JXI,[-0.031387304368323043],[0.0064377631060779095]
JYI,[-0.8259080739809848],[-0.8106093406677246]
JZI,[0.4999159288187607],[0.4711599051952362]
JXX,[-0.849123527714404],[-0.7716173529624939]
JXY,[-0.5949888037030053],[-0.4669457972049713]
JXZ,[-0.8521523054463589],[-0.770781934261322]
JYX,[0.25641529719452016],[0.1953515261411667]
JYY,[0.6850666514970689],[0.7813642621040344]
JYZ,[0.2223887601504444],[0.23908185958862305]
JZX,[-0.555055593525728],[-0.4742162823677063]
JZY,[0.6900198748973474],[0.643471896648407]
JZZ,[0.7430289704795401],[0.6406205892562866]
