,treino,previsto
gamma1,[0.23225271643321965],[0.2323797196149826]
gamma2,[0.23269495139955365],[0.2346717119216919]
gamma3,[0.04233541665118867],[0.04309730604290962]
gamma4,[0.9975612088693158],[0.9765231013298035]
JXX,[0.6157086039068553],[0.6052491664886475]
JXY,[0.02491247927518625],[0.026168348267674446]
JXZ,[0.010168306940023353],[0.01517726294696331]
JYX,[-0.527887273007579],[-0.524259090423584]
JYY,[-0.9936387387794057],[-0.9851271510124207]
JYZ,[-0.2579066167357844],[-0.2546517848968506]
JZX,[0.17072499436424837],[0.17234280705451965]
JZY,[-0.8614704736333774],[-0.8451327085494995]
JZZ,[0.5875020437139302],[0.5843535661697388]
JIX,[-0.6701010403336041],[-0.6547161340713501]
JIY,[0.3795338484351347],[0.38107094168663025]
JIZ,[0.26999988080944126],[0.2721586525440216]
JXI,[-0.04179905588509758],[-0.04098184034228325]
JYI,[-0.5679713042121943],[-0.5691217184066772]
JZI,[0.5852667164004928],[0.580080509185791]
