,treino,previsto
gamma1,[0.4606660816810936],[0.46047890186309814]
gamma2,[0.961985163786831],[0.9617406725883484]
gamma3,[0.17655246550171377],[0.17648686468601227]
gamma4,[0.6047448911757226],[0.6047254204750061]
JIX,[-0.08278658122587723],[-0.08219727873802185]
JIY,[0.75573580747802],[0.7569491863250732]
JIZ,[-0.936307039182035],[-0.9351497888565063]
JXI,[-0.43514770769241484],[-0.4347856640815735]
JYI,[0.9235823398396055],[0.9223924279212952]
JZI,[0.32863746890923196],[0.32773110270500183]
JXX,[-0.7432552611528482],[-0.7421566843986511]
JXY,[-0.3032215345335192],[-0.3037106394767761]
JXZ,[0.7594986370688406],[0.7587376236915588]
JYX,[-0.11847555907257856],[-0.11767100542783737]
JYY,[-0.9427359472588261],[-0.9410687685012817]
JYZ,[0.7923633416986142],[0.7925352454185486]
JZX,[-0.7402518531783084],[-0.739544689655304]
JZY,[0.2825321585235483],[0.28273481130599976]
JZZ,[0.23915971379161394],[0.24058084189891815]
