,treino,previsto
gamma1,[0.11559376141555855],[0.11476920545101166]
gamma2,[0.5168944758821384],[0.5170339345932007]
gamma3,[0.9581608361848446],[0.9532852172851562]
gamma4,[0.7391495693118509],[0.7336836457252502]
JXX,[-0.8164267732816153],[-0.8121316432952881]
JXY,[0.5154739618114095],[0.5137805342674255]
JXZ,[-0.6973994850161125],[-0.698236346244812]
JYX,[0.41312937860744503],[0.40935805439949036]
JYY,[0.44889865699678344],[0.4472486674785614]
JYZ,[0.5318855645166582],[0.5288745760917664]
JZX,[-0.11724448997139492],[-0.1156466007232666]
JZY,[0.7315447884951349],[0.7288536429405212]
JZZ,[0.9758178984400172],[0.9747311472892761]
JIX,[0.42468597565383703],[0.42361512780189514]
JIY,[0.6795994726237466],[0.678272008895874]
JIZ,[-0.6348162260909651],[-0.633695662021637]
JXI,[0.9965652550359014],[0.9901549220085144]
JYI,[-0.6118090425525051],[-0.6087216138839722]
JZI,[0.34177346053199664],[0.3357839286327362]
