,treino,previsto
gamma1,[0.6356198271421528],[0.6356890201568604]
gamma2,[0.3012944565249175],[0.30128148198127747]
gamma3,[0.30925941853405303],[0.30918923020362854]
gamma4,[0.49610056652766343],[0.4960120618343353]
JIX,[0.1406568462737463],[0.14016284048557281]
JIY,[0.2644659911575571],[0.2644806504249573]
JIZ,[0.634007719766547],[0.6334500908851624]
JXI,[-0.44541829110731035],[-0.44522154331207275]
JYI,[0.30371993601715563],[0.30383288860321045]
JZI,[0.7816219111185623],[0.7814774513244629]
JXX,[0.8176570464277362],[0.8175609707832336]
JXY,[-0.626974881004831],[-0.626874566078186]
JXZ,[0.30345421888232527],[0.30381378531455994]
JYX,[0.23423455571393448],[0.233977809548378]
JYY,[0.00678767742209474],[0.006677085068076849]
JYZ,[0.9323959303949194],[0.9321749210357666]
JZX,[0.05653244973667082],[0.056194208562374115]
JZY,[-0.10949180599742303],[-0.10933441668748856]
JZZ,[0.8871223132747139],[0.8868433237075806]
