,treino,previsto
gamma1,[0.07873212256130502],[0.08371301740407944]
gamma2,[0.8385794417948504],[0.8614394068717957]
gamma3,[0.7748150558613741],[0.7872316241264343]
gamma4,[0.7401692871206411],[0.7401921153068542]
JIX,[0.2969944399577662],[0.30456969141960144]
JIY,[0.40273908193734953],[0.42767202854156494]
JIZ,[0.9140940053161357],[0.9606075882911682]
JXI,[-0.6071937818236794],[-0.7225283980369568]
JYI,[-0.8692615292310002],[-0.8816785216331482]
JZI,[0.6485148599678836],[0.6325827836990356]
JXX,[-0.3338666967613588],[-0.329323947429657]
JXY,[-0.25525056072843344],[-0.2862367033958435]
JXZ,[0.6297316462233915],[0.5743151903152466]
JYX,[-0.6333304606700121],[-0.6232734322547913]
JYY,[0.8193628972743414],[0.818305492401123]
JYZ,[-0.017661007920774408],[-0.024089660495519638]
JZX,[-0.8573255728224154],[-0.9004958271980286]
JZY,[0.8356247341269967],[0.8636951446533203]
JZZ,[0.14599702737085796],[0.1817861646413803]
