,treino,previsto
gamma1,[0.9059729815293226],[0.9124554991722107]
gamma2,[0.05882432741086607],[0.09048309922218323]
gamma3,[0.8188201278420804],[0.770287275314331]
gamma4,[0.07460963363587747],[0.042518213391304016]
JIX,[-0.05085864262290385],[-0.09978877007961273]
JIY,[0.31494500531451064],[0.3184237480163574]
JIZ,[0.3328209422496762],[0.36599287390708923]
JXI,[-0.7147992941492645],[-0.6889582872390747]
JYI,[-0.9782791138198641],[-1.313107967376709]
JZI,[-0.25049101587327116],[-0.23829540610313416]
JXX,[-0.4519037210433372],[-0.468330055475235]
JXY,[0.6206961044701675],[0.5879817605018616]
JXZ,[0.3811853060773691],[0.3116814196109772]
JYX,[0.2029140774554663],[0.08559728413820267]
JYY,[0.11638009550669604],[0.06161131337285042]
JYZ,[0.322642171744002],[0.0579192228615284]
JZX,[-0.709394410579794],[-0.6245191097259521]
JZY,[-0.11989041615046037],[-0.14516475796699524]
JZZ,[-0.6754653552222227],[-0.6966454386711121]
