,treino,previsto
gamma1,[0.5628688113018914],[0.48670774698257446]
gamma2,[0.1447411064167936],[0.10914258658885956]
gamma3,[0.6212680126015702],[0.5771381855010986]
gamma4,[0.9354403775856178],[0.8523487448692322]
JIX,[-0.45701777348010886],[-0.4063185453414917]
JIY,[0.08381318894888312],[0.19244299829006195]
JIZ,[0.41626068745402045],[0.7010133266448975]
JXI,[0.917191422295486],[0.6886138916015625]
JYI,[-0.2618426626154975],[-0.10110487788915634]
JZI,[0.06558319034107951],[0.12439315766096115]
JXX,[-0.2505554106105863],[-0.23560823500156403]
JXY,[0.1001806372651497],[0.053034719079732895]
JXZ,[0.6830199055618982],[0.4298754632472992]
JYX,[0.9856124726433224],[1.010229229927063]
JYY,[0.8570814910534756],[0.5917068123817444]
JYZ,[0.8766170981231314],[0.8937553763389587]
JZX,[-0.891220563811497],[-0.8322834968566895]
JZY,[-0.5173986975921827],[-0.3529791235923767]
JZZ,[0.8920340765929551],[0.8372689485549927]
