,treino,previsto
gamma1,[0.77529863915214],[0.7747830152511597]
gamma2,[0.34274672680843743],[0.34321311116218567]
gamma3,[0.5901025879832493],[0.5907896757125854]
gamma4,[0.1603307626513215],[0.16035594046115875]
JXX,[-0.28845257802171864],[-0.2894567847251892]
JXY,[0.016102540300439783],[0.015035145916044712]
JXZ,[-0.676948428038167],[-0.6769165396690369]
JYX,[0.922305841157107],[0.9208841919898987]
JYY,[0.9705653285538425],[0.9705081582069397]
JYZ,[-0.6566170474147057],[-0.6560907363891602]
JZX,[-0.7544846679233637],[-0.7551987171173096]
JZY,[-0.05489607943462049],[-0.05542924255132675]
JZZ,[0.03745363680889113],[0.03840198740363121]
JIX,[0.8559831317553486],[0.856673002243042]
JIY,[-0.6539462199039121],[-0.6538362503051758]
JIZ,[0.9412578465756445],[0.940823495388031]
JXI,[-0.5237824485830533],[-0.522549033164978]
JYI,[-0.07049588397328099],[-0.0699780210852623]
JZI,[0.7955231915539118],[0.7960130572319031]
